Profundidad,Densidad Aparente,Gamma Ray,Porosidad Neutrón,Resistividad Profunda,Resistividad Media
3676.0892,2.1811,47.3666,42.3356,0.8691,0.7764
3676.2416,2.1918,46.7184,41.7428,0.8736,0.8074
3676.394,2.1954,50.4022,34.024,0.8406,0.8337
3676.5464,2.199,47.6995,38.3901,0.7856,0.8126
3676.6988,2.2006,41.9718,42.346,0.7769,0.7785
3676.8512,2.1943,45.1936,32.7058,0.7449,0.7803
3677.0036,2.193,50.1642,38.0517,0.7235,0.7791
3677.156,2.2082,48.3708,40.8409,0.7116,0.7569
3677.3084,2.2058,47.5553,27.0739,0.6855,0.7461
3677.4608,2.1798,45.1436,33.1005,0.6589,0.717
3677.6132,2.1756,38.3284,35.4766,0.6032,0.6936
3677.7656,2.1949,38.2752,30.2407,0.5335,0.6493
3677.918,2.2345,41.6667,31.5688,0.5153,0.5968
3678.0704,2.2622,49.1397,30.9707,0.5133,0.5677
3678.2228,2.2662,66.8564,38.6482,0.5011,0.5577
3678.3752,2.2282,65.7196,41.7256,0.4775,0.5667
3678.5276,2.1672,64.8982,68.8063,0.4651,0.5698
3678.68,2.1342,46.0061,41.4957,0.4596,0.5414
3678.8324,2.1335,35.8338,31.299,0.455,0.5265
3678.9848,2.1445,28.7689,29.4349,0.4525,0.5209
3679.1372,2.1525,30.3744,35.1156,0.4483,0.5161
3679.2896,2.151,29.4528,22.7053,0.4381,0.5024
3679.442,2.154,33.3077,31.3799,0.4278,0.4931
3679.5944,2.1575,28.4195,26.1433,0.4203,0.4875
3679.7468,2.1585,31.7329,23.4429,0.4185,0.4845
3679.8992,2.1599,25.5151,26.8579,0.4157,0.4831
3680.0516,2.1662,25.7329,28.2238,0.4108,0.481
3680.204,2.1755,31.1096,26.2993,0.4043,0.4803
3680.3564,2.1812,31.7064,27.8142,0.3995,0.4799
3680.5088,2.1832,27.7701,29.6463,0.3948,0.4816
3680.6612,2.1839,31.7599,23.5922,0.3948,0.4823
3680.8136,2.1844,26.9008,23.1357,0.3959,0.4831
3680.966,2.184,31.6781,23.518,0.3965,0.4848
3681.1184,2.1859,29.778,21.9605,0.3972,0.4866
3681.2708,2.189,31.0815,27.088,0.4009,0.4894
3681.4232,2.1877,32.9002,27.9405,0.4024,0.4915
3681.5756,2.1866,32.0853,24.9248,0.4054,0.4926
