Ca,Fe,Mg,target
6.05605,7.807829999999999,2.33964,basalt
6.5923,7.003979999999999,3.34665,basalt
8.7516,6.556620000000001,5.0652,basalt
8.58715,6.42381,5.348609999999999,basalt
8.11525,6.38187,5.14962,basalt
7.9222,6.18615,5.11344,basalt
8.01515,6.242069999999999,5.14962,basalt
8.0938,6.256049999999999,5.228009999999999,basalt
7.9794,6.19314,5.13153,basalt
7.9937,6.45876,5.240069999999999,basalt
8.122399999999999,6.38886,5.1858,basalt
8.422699999999999,6.46575,5.33052,basalt
8.17245,6.30498,5.25213,basalt
8.1653,6.367889999999999,5.27022,basalt
8.479899999999999,6.242069999999999,5.45112,basalt
8.17245,6.437790000000001,5.27022,basalt
8.20105,6.39585,5.13756,basalt
8.0223,6.353909999999999,5.101380000000001,basalt
8.58,6.18615,5.77674,basalt
8.4942,6.17916,5.57775,basalt
8.63005,5.962469999999999,5.98176,basalt
8.866,6.353909999999999,5.67423,basalt
8.7659,6.137219999999999,5.71644,basalt
8.68725,6.10926,6.042059999999999,basalt
8.64435,5.92053,6.20487,basalt
8.58,5.94849,6.090299999999999,basalt
8.6944,5.94849,6.19281,basalt
6.61375,5.396279999999999,4.5225,basalt
