Nombre,SiO2,Al2O3,FeOT,CaO,MgO,Na2O,K2O,MnO,TiO
Granodiorita,66.74,15.53,3.75,3.2,1.68,3.57,3.33,0.05,0.51
Granodiorita,64.57,15.18,3.55,2.16,2.49,1.75,4.24,0.03,0.53
Granodiorita,66.93,15.14,3.47,3.39,1.85,3.46,3.44,0.07,0.48
Granodiorita,65.47,15.1,3.66,3.84,1.91,3.45,3.22,0.08,0.51
Granodiorita,65.89,15.75,3.55,3.5,1.83,2.66,3.44,0.04,0.52
Granodiorita,65.37,15.87,3.65,4.15,2.15,3.65,3.2,0.08,0.52
Granodiorita,67.17,15.3,3.49,3.34,1.69,3.62,3.46,0.08,0.47
Granodiorita,65.78,15.55,3.89,3.22,2.19,3.67,3.18,0.06,0.55
Granodiorita,66.29,15.46,3.66,3.21,2.1,3.47,3.36,0.06,0.54
Granodiorita,66.37,15.63,3.91,3.7,2.26,2.42,3.64,0.04,0.54
Granodiorita,65.98,15.48,3.83,3.68,1.88,3.57,3.33,0.07,0.49
Granodiorita,65.11,15.64,3.91,3.78,1.76,3.7,3.38,0.06,0.53
Granodiorita,65.04,15.43,5.07,4.36,1.93,3.63,2.13,0.08,0.46
Granodiorita,65.92,15.56,3.66,3.49,1.98,3.57,3.47,0.08,0.51
Granodiorita,66.09,16.31,3.7,3.74,1.84,3.69,3.28,0.05,0.52
Granodiorita,66.73,15.6,3.32,3.42,1.76,3.9,3.11,0.03,0.49
Granodiorita,65.96,16.16,3.83,3.77,2.05,3.59,3.26,0.08,0.53
Granodiorita,68.17,16.16,3.78,0.82,2.58,6.27,0.97,0.02,0.56
Granodiorita,65.83,16.19,3.86,3.56,2.07,3.54,3.57,0.06,0.54
Granodiorita,58.3956373056979,17.765203452812,6.21666137210301,6.66160634214591,3.30435832671382,4.09629717814099,2.40934408613889,0.127227492361668,0.814361188821699
Granodiorita,67.01,16.33,3.42,4.28,1.64,3.89,2.58,0.05,0.61
Granodiorita,58.4743789283301,16.6575365163544,7.1511630102861,6.05998212731468,3.32162152492289,4.02812380968828,2.58018814882403,0.237258680351635,1.19317390348837
Granodiorita,63.1431711459686,17.8239584374063,3.97642122090119,5.33519832151064,2.39784194225197,4.17624138275552,2.16804875611949,0.149865121390748,0.659406534119293
Granodiorita,66.051849701057,16.3502796149546,3.44399218622876,4.67078322775272,2.0775569544143,4.13431169586976,2.64454924274999,0.0640562256271801,0.426573220746348
Granodiorita,63.52,16.71,4.11,3.36,2.73,4.73,1.33,0.08,0.48
Granodiorita,63.55,15.61,4.54,3.33,3.53,4.32,2.17,0.09,0.49
Granodiorita,60.93,16.28,5.97,5.94,3.12,3.36,1.37,0.11,0.6
Granodiorita,59.77,16.33,7.03,6.38,3.93,3.12,1.29,0.13,0.69
Granodiorita,60.57,16.93,4.39,3.06,3.27,5.21,2.16,0.08,0.59
Granodiorita,65.96,14.83,4.19,2.94,1.49,3.97,3.29,0.135,0.639
Granodiorita,66.7,14.91,3.37,2.93,1.3,4.39,3.05,0.106,0.599
Granodiorita,66.52,15.36,4.06,2.38,1.12,4.53,3.36,0.102,0.656
Granodiorita,65.96,16.21,3.49,2.67,1.1,4.76,3.05,0.103,0.654
Granodiorita,64.69,16.61,4.02,2.79,1.09,4.87,2.85,0.108,0.674
Granodiorita,66.84,14.86,4.0,2.35,1.2,3.67,3.65,0.078,0.613
Granodiorita,66.06,16.02,3.27,2.41,0.936,4.92,3.15,0.098,0.615
Granodiorita,65.96,15.82,3.6,2.76,1.13,4.69,3.09,0.121,0.618
Granodiorita,69.53,14.99,3.04,0.75,1.04,4.55,3.18,0.084,0.486
Granodiorita,65.32,17.7,3.14,0.748,1.25,7.4,1.32,0.097,0.607
Granodiorita,71.12,14.35,2.35,1.74,0.672,3.61,4.08,0.069,0.388
Granodiorita,67.64,15.55,3.68,1.28,1.28,4.24,3.26,0.091,0.647
Granodiorita,66.33,16.84,1.79,4.71,1.58,5.6,0.692,0.1,0.697
Granodiorita,65.31,15.45,3.85,3.6,1.52,4.1,2.97,0.069,0.572
Granodiorita,71.59,15.78,2.05,2.8,0.73,4.97,1.83,0.049,0.241
Granodiorita,71.3,15.8,1.82,2.59,0.7,5.19,2.0,0.046,0.22
Granodiorita,69.25,15.61,2.74,3.58,1.11,4.46,1.76,0.06,0.342
Granodiorita,71.64,15.3,1.82,2.46,0.61,4.72,2.02,0.05,0.203
Granodiorita,66.76,16.0,3.79,4.03,1.55,4.24,1.65,0.079,0.428
Granodiorita,68.04,16.2,3.21,3.52,1.04,4.69,1.53,0.085,0.368
Granodiorita,65.56,14.36,6.6,2.67,0.52,3.68,3.7,0.101,0.735
Granodiorita,62.54,15.53,4.92,1.42,6.2,3.69,1.4,0.04,0.16
Granodiorita,66.46,15.63,3.75,3.26,1.74,4.06,2.79,0.07,0.52
Granodiorita,66.83,15.57,3.59,3.02,1.85,3.98,3.15,0.08,0.47
Granodiorita,67.01,15.64,3.38,2.89,1.81,4.04,2.95,0.07,0.5
Granodiorita,66.87,15.42,3.63,3.1,1.79,3.95,2.81,0.06,0.52
Granodiorita,63.6970450911509,14.2934783390244,6.18,3.98118904983075,1.60158226818154,2.75278138925394,3.73966490061178,0.100965013198095,1.38084503344453
Granodiorita,63.9207810900332,14.6470532971996,5.84,3.4816766034327,1.84088647997591,3.02145498343872,4.55219211081,0.0900433604336044,1.24059741041855
Granodiorita,65.9433971673649,14.5423853979653,5.21,2.91644005585478,1.57268781168961,2.83681029323758,4.80764691801317,0.0895834829443447,0.995372032714942
Granodiorita,67.0864573225517,14.1869562743336,4.84,2.87128840970351,1.48549296196466,2.84137915543576,4.68578316861336,0.0797580113806529,0.977035639412998
Granodiorita,60.5611906669338,13.8940384538354,7.99,5.13518856398959,1.83185089124775,2.57259933907471,4.06410634888845,0.150151712397356,1.68169917885039
Granodiorita,65.1506240487063,14.2000121765601,5.58,3.49957686453577,1.6943196347032,2.59190563165906,4.38707762557078,0.0907671232876713,1.19005783866058
Granodiorita,63.449608278847,15.0654983687668,5.67,3.3958472564589,2.23525128158276,2.17243321812858,4.5951463036054,0.114223682520944,1.29883540993408
Granodiorita,70.5211875819919,13.6142625762577,2.28,1.42204686078744,0.40731995509992,2.45582967080712,6.42968047057459,0.03404257909339,0.35362597466399
Granodiorita,71.2076089167491,13.7416416399023,2.53,1.43232275842013,0.701134221653969,2.5513217931789,5.60857453211693,0.0437335216582795,0.448318521108847
Granodiorita,65.2113465277289,14.5080351750866,5.4,3.18189378316598,1.29155022741882,2.99965233541388,4.52082479202008,0.109225169835003,1.10960802670737
Granodiorita,68.0038223310538,13.9103500684726,4.18,2.65711793555889,1.38046284780884,2.86132663729616,5.16443606292483,0.0732465951766176,0.929961217283431
Granodiorita,58.2990214427512,14.0205884521918,8.36,5.45304708979632,2.13700763788083,2.75027583639471,4.15355722602916,0.140018760376725,2.04968303679057
Granodiorita,68.847956680903,14.1442809640024,3.55,2.52991244661379,1.17658602806589,3.10558114704088,4.51950427089689,0.0858453325198291,0.706961561928005
Granodiorita,65.6407178847078,14.788250517078,4.81,2.86919511579197,1.19871759089962,3.08779077486187,4.86502431929999,0.0793044716625704,1.14279777113755
Granodiorita,56.28,12.18,10.3,5.53,2.27,2.61,3.03,0.17,2.55
Granodiorita,71.99,13.11,3.36,3.11,0.97,4.45,1.06,0.09,0.49
Granodiorita,70.69,13.65,3.64,3.46,1.07,4.2,1.14,0.09,0.54
Granodiorita,71.61,13.1,3.56,2.94,1.04,4.38,1.0,0.09,0.54
Granodiorita,67.7,14.57,3.73,3.02,1.33,3.48,4.0,0.07,0.54
Granodiorita,60.0362076872348,18.2112396474493,5.59,4.48008614304298,1.35643320884448,3.33678257685196,4.08727004626394,0.0880677565453097,0.751711328076092
Granodiorita,69.4455780314457,14.4655914764065,3.8,2.17435956483144,1.16903082744881,4.03429156543471,2.39207211386983,0.0652922354951286,0.535622562807135
Granodiorita,68.5304875634243,15.7792950448098,3.04,3.16124328298738,0.699080918839236,3.02095325480654,3.26937373794629,0.0594665521741774,0.293279056083881
Granodiorita,64.8363191493803,17.3276573187561,4.1,5.50744655473602,1.63967552399147,2.64009030564958,2.42303549455938,0.0552460588328259,0.559364249498145
Granodiorita,68.4550921698007,16.2848883317576,2.73,0.369995823919655,0.251178697318425,4.24666222470027,6.36104904944581,0.0825415695308096,0.317131074919598
Granodiorita,66.1136942902097,16.7841497984085,5.23,2.34075658438747,2.11340286167358,3.01299698703453,2.74943519194278,0.0489750462573216,0.340438314188846
Granodiorita,64.81,17.06,3.44,4.21,1.29,4.5,2.56,0.068,0.489
Granodiorita,64.71,17.34,3.1,3.96,1.13,4.39,3.29,0.057,0.463
Granodiorita,64.27,17.16,3.42,4.14,1.32,4.37,3.01,0.068,0.494
Granodiorita,65.21,16.99,3.28,3.99,1.21,4.33,2.57,0.063,0.485
Granodiorita,65.37,16.85,3.29,3.67,1.13,4.14,3.22,0.061,0.494
Granodiorita,63.18,17.44,3.85,4.85,1.74,3.97,2.84,0.074,0.534
Granodiorita,63.23,16.94,4.21,4.79,1.94,3.83,2.76,0.08,0.569
Granodiorita,63.26,16.99,4.18,4.85,1.92,3.84,2.88,0.081,0.56
Granodiorita,64.35,17.1,4.32,4.25,1.56,3.86,1.32,0.12,0.41
Granodiorita,63.53,17.08,4.45,5.22,1.57,3.74,1.35,0.11,0.42
Granodiorita,62.97,16.54,4.47,5.13,1.63,3.58,1.33,0.12,0.42
Granodiorita,62.77,16.59,4.38,5.28,1.57,3.65,1.04,0.11,0.41
Granodiorita,64.21,16.48,4.01,4.8,1.64,3.99,2.47,0.08,0.47
Granodiorita,62.65,15.76,4.53,4.19,1.76,3.99,2.04,0.15,0.52
Granodiorita,63.9,16.25,4.68,4.64,1.89,3.81,2.47,0.1,0.55
Granodiorita,63.47,16.66,4.69,4.9,1.87,3.87,2.24,0.11,0.55
Granodiorita,66.04,15.92,3.94,4.2,1.5,3.82,2.92,0.09,0.46
Granodiorita,61.97,16.18,5.07,5.25,2.42,3.65,2.29,0.12,0.53
Granodiorita,65.3,15.79,4.04,4.27,1.62,3.86,2.65,0.22,0.44
Granodiorita,63.2,16.39,4.72,4.9,1.82,3.82,2.39,0.1,0.53
Granodiorita,60.45,17.26,5.58,5.69,2.34,3.74,2.06,0.11,0.63
Granodiorita,64.47,16.06,4.74,4.7,1.76,3.74,2.3,0.11,0.49
Granodiorita,66.89,16.73,2.61,3.25,0.99,4.81,2.71,0.07,0.29
Granodiorita,67.36,16.75,2.35,3.24,0.9,5.09,2.61,0.07,0.28
Granodiorita,68.42,16.15,2.47,3.6,0.86,4.82,2.07,0.07,0.26
Granodiorita,68.19,16.03,2.38,3.02,0.89,4.41,3.39,0.07,0.27
Granodiorita,68.29,16.55,2.31,3.42,0.82,4.84,2.7,0.07,0.26
Granodiorita,66.8,16.66,2.62,3.37,1.01,4.48,3.31,0.07,0.31
Granodiorita,66.36,16.89,2.8,3.94,1.06,4.91,2.26,0.07,0.33
Granodiorita,66.77,16.33,2.88,3.61,1.18,4.48,2.77,0.07,0.32
Granodiorita,63.99,17.2,3.08,4.17,1.24,5.12,2.61,0.08,0.37
Granodiorita,68.47,16.26,2.4,3.46,0.88,4.85,2.27,0.07,0.29
Granodiorita,64.7,17.1,2.8,3.98,1.08,4.8,3.01,0.08,0.33
Granodiorita,66.84,17.08,2.35,3.26,0.87,5.08,2.58,0.07,0.25
Granodiorita,61.34,17.5,3.47,4.94,1.72,4.57,4.2,0.09,0.43
Granodiorita,69.6,15.96,1.88,2.83,0.7,4.76,3.12,0.05,0.21
Granodiorita,67.99,16.52,2.25,3.28,0.81,4.9,2.77,0.07,0.25
Granodiorita,68.4,16.39,1.98,2.94,0.91,4.97,3.13,0.05,0.21
Granodiorita,63.4,17.29,3.54,4.5,1.72,5.27,2.25,0.09,0.42
Granodiorita,67.14,16.58,2.47,3.45,0.99,4.8,2.73,0.08,0.28
Granodiorita,66.96,16.77,1.91,2.87,0.92,4.6,4.58,0.05,0.22
Granodiorita,62.26,17.82,2.75,3.74,1.28,4.45,5.32,0.07,0.32
Granodiorita,60.56,18.24,3.56,4.88,1.63,4.98,3.73,0.09,0.42
Granodiorita,61.42,18.29,3.31,4.59,1.53,4.81,3.84,0.08,0.38
Granodiorita,74.59,14.12,0.76,1.33,0.13,4.22,4.29,0.02,0.04
Granodiorita,66.2,16.16,3.04,3.62,1.64,4.46,3.03,0.07,0.34
Granodiorita,60.76,19.22,2.84,3.8,1.46,5.14,4.75,0.09,0.32
Granodiorita,66.3,16.11,2.99,3.46,1.54,4.13,3.49,0.07,0.36
Granodiorita,64.64,16.34,3.56,4.19,1.97,4.51,2.65,0.08,0.4
Granodiorita,64.21,16.6,3.62,4.28,2.02,4.45,2.85,0.08,0.4
Granodiorita,68.35,15.42,3.18,3.87,0.99,3.72,2.89,0.1,0.33
Granodiorita,65.85,17.02,2.81,4.35,0.95,3.77,3.35,0.12,0.36
Granodiorita,66.46,16.35,3.33,4.49,1.03,4.03,2.28,0.12,0.36
Granodiorita,69.51,15.38,2.46,3.36,0.77,3.69,3.32,0.11,0.26
Granodiorita,66.79,16.34,3.13,4.58,1.05,3.95,2.35,0.1,0.34
Granodiorita,74.45,14.67,0.77,1.54,0.19,3.79,4.12,0.02,0.07
Granodiorita,73.22,14.9,0.76,1.61,0.08,4.31,3.98,0.02,0.03
Granodiorita,71.49,14.7,2.19,2.65,0.59,3.41,3.59,0.08,0.22
Granodiorita,69.55,16.15,2.11,4.1,0.72,4.17,1.55,0.11,0.22
Granodiorita,68.55,16.18,2.58,3.54,0.82,4.36,2.58,0.11,0.29
Granodiorita,67.65,14.83,4.89,3.53,1.08,4.62,1.19,0.086,0.71
Granodiorita,65.99,14.82,5.16,4.57,1.06,4.7,1.21,0.12,0.78
Granodiorita,66.01,15.61,5.23,4.13,1.09,4.31,1.47,0.1,0.74
Granodiorita,65.94,16.04,2.9,3.18,1.49,4.1,3.32,0.08,0.45
Granodiorita,66.02,16.48,2.99,2.82,1.56,4.38,3.04,0.07,0.48
Granodiorita,67.43,15.66,2.97,2.99,1.79,4.16,3.29,0.07,0.41
Granodiorita,65.13,15.56,2.78,3.11,2.05,3.8,3.59,0.07,0.43
Granodiorita,67.4,13.4,2.86,1.47,1.24,5.47,4.73,0.03,0.56
Granodiorita,49.9,18.83,9.23,8.74,4.44,3.37,1.62,0.169,1.118
Granodiorita,68.4,14.78,3.13,2.12,1.15,3.32,4.28,0.074,0.367
Granodiorita,70.18,14.65,2.71,2.53,0.88,3.23,3.89,0.06,0.323
Granodiorita,66.73,16.29,3.29,3.67,1.07,3.27,3.94,0.089,0.385
Granodiorita,68.25,15.61,3.1,3.04,1.16,3.09,4.62,0.072,0.371
Granodiorita,65.29,16.1,4.35,3.58,1.55,3.33,2.99,0.094,0.551
Granodiorita,63.94,16.45,5.44,3.44,1.86,3.42,3.36,0.121,0.59
Granodiorita,69.82,15.81,1.94,1.81,0.69,5.48,3.09,0.03,0.24
Granodiorita,72.69,15.03,1.18,0.7,0.42,5.34,3.68,0.005,0.22
Granodiorita,71.25,15.77,1.76,2.31,0.6,5.67,2.16,0.01,0.26
Granodiorita,71.4,14.97,1.62,1.85,0.47,5.57,2.96,0.02,0.17
Granodiorita,71.65,15.51,1.87,1.94,0.55,5.28,2.87,0.02,0.24
Granodiorita,70.68,15.53,1.68,0.81,0.68,5.97,2.96,0.01,0.25
Granodiorita,70.23,15.5,1.79,1.31,0.62,5.81,2.76,0.01,0.23
Granodiorita,70.34,15.38,1.96,1.7,0.7,5.67,2.75,0.01,0.27
Granodiorita,71.22,15.33,1.98,1.39,0.71,5.54,2.73,0.009,0.25
Granodiorita,71.85,15.53,1.84,2.22,0.61,4.87,2.85,0.014,0.24
Granodiorita,71.73,15.73,2.11,1.34,0.73,4.83,3.18,0.017,0.29
Granodiorita,61.5819037223803,14.8369425639664,4.83,5.45517376418342,2.90185101899438,2.68211271910469,3.43498299198845,0.0774851668219959,0.517454808559821
Granodiorita,62.7724161290421,14.6260224612242,4.26,4.27450694832616,3.08076105951742,2.80545535311031,4.80358340601919,0.074656385895892,0.582162258855419
Granodiorita,62.0621398091775,15.8913461282081,5.2,5.65345950963975,2.49290845554998,1.71278022795309,2.34404846614954,0.0862868516766138,0.730598849983643
Granodiorita,63.1050433877897,15.0658469044555,4.69,4.59209925863814,3.41318262678534,2.83471761523303,3.85,0.0803427257054248,0.638649407265779
Granodiorita,62.1257582677471,15.8392631000435,5.38,5.54338257827874,2.59514927319732,2.22130271239986,3.47,0.0924904244320265,0.740704219139859
Granodiorita,62.987302774959,14.8171562578515,4.54,4.40471635340961,3.30710307627114,2.41,3.77260472895967,0.0779458591802275,0.612891466501739
Granodiorita,63.0414114783875,14.7836990066195,4.74,4.53686771763846,3.48726838231168,2.25541728028132,4.52541867089832,0.0818936499740752,0.632002054951909
Granodiorita,68.8,15.7,3.33,3.0,1.4,3.5,3.5,0.1,0.5
Granodiorita,64.9,16.2,4.05,4.9,1.8,4.1,2.0,0.1,0.4
Granodiorita,68.81,15.95,2.41,2.1,0.65,4.38,3.75,0.06,0.27
Granodiorita,63.75,16.46,2.15,4.78,1.15,7.09,2.61,0.05,0.98
Granodiorita,62.73,16.0,2.53,5.38,1.35,7.02,2.2,0.06,1.04
Granodiorita,55.32,18.84,7.2,7.09,2.76,3.37,1.95,0.13,0.96
Granodiorita,52.52,19.13,8.45,7.28,3.25,3.33,2.22,0.14,1.15
Granodiorita,65.54,16.1,4.59,3.31,1.64,2.48,3.36,0.09,0.61
Granodiorita,66.78,15.61,4.33,2.56,1.14,3.0,3.31,0.07,0.51
Granodiorita,68.12,14.9,3.77,1.64,1.19,3.88,2.11,0.05,0.43
Granodiorita,67.2,16.34,2.65,2.98,1.03,4.67,2.13,0.05,0.41
Granodiorita,68.48,15.13,2.73,2.86,1.07,3.66,3.45,0.05,0.46
Granodiorita,66.35,16.22,2.9,2.82,1.14,4.15,3.4,0.05,0.48
Granodiorita,67.1,16.71,2.47,3.14,0.95,4.73,2.63,0.04,0.38
Granodiorita,67.46,16.32,2.6,3.05,1.02,4.47,2.59,0.04,0.38
Granodiorita,68.19,15.53,3.03,3.31,1.15,4.27,2.26,0.06,0.5
Granodiorita,63.11,14.84,6.24,4.96,2.58,2.56,2.62,0.12,0.85
Granodiorita,66.37,15.21,4.61,4.69,1.78,2.82,2.35,0.09,0.65
Granodiorita,65.14,15.17,5.11,4.93,1.95,2.78,2.42,0.09,0.71
Granodiorita,64.18,15.2,5.33,4.99,2.08,2.74,2.61,0.09,0.74
Granodiorita,64.23,15.36,5.13,4.94,2.07,2.8,2.71,0.09,0.7
Granodiorita,65.2,14.19,3.4,3.515,2.07,6.425,0.669,0.1015,0.726
Granodiorita,63.19,17.34,4.32,2.6,1.51,3.96,3.29,0.071,0.664
Granodiorita,64.55,16.66,4.26,0.744,2.33,4.33,3.24,0.047,0.559
Granodiorita,64.33,16.26,4.74,0.229,2.36,2.66,5.14,0.05,0.625
Granodiorita,63.76,16.17,4.91,0.397,2.48,4.62,3.16,0.062,0.7
Granodiorita,62.99,17.12,4.93,0.489,2.75,3.23,4.2,0.044,0.618
Granodiorita,68.17,15.07,3.34,0.262,2.05,5.77,2.25,0.021,0.447
Granodiorita,67.45,14.87,3.62,3.34,1.5,3.62,3.48,0.08,0.49
Granodiorita,66.54,15.55,3.96,3.73,1.76,3.85,3.22,0.08,0.58
Granodiorita,66.58,15.0,3.94,3.37,1.61,3.71,3.25,0.09,0.55
Granodiorita,66.64,15.36,3.54,3.35,1.48,3.76,3.38,0.08,0.52
Granodiorita,66.26,15.4,3.9,3.39,1.66,3.79,3.53,0.09,0.56
Granodiorita,62.4,15.6,4.84,4.22,2.02,3.78,1.79,0.12,0.73
Granodiorita,62.1,16.8,5.05,4.83,2.06,3.28,2.01,0.1,0.54
Granodiorita,67.42,15.48,2.84,3.04,1.61,4.22,2.88,0.04,0.45
Granodiorita,66.45,16.08,3.05,3.22,1.77,4.25,2.74,0.06,0.51
Granodiorita,73.4,14.5,1.21,1.86,0.26,4.22,2.88,0.05,0.14
Granodiorita,63.8,15.8,4.32,4.24,1.93,3.42,3.15,0.1,0.52
Granodiorita,68.8,16.7,1.82,3.55,0.55,4.51,1.91,0.04,0.22
Granodiorita,66.8,15.71,3.11,2.94,1.44,4.04,3.56,0.07,0.51
Granodiorita,66.83,15.52,3.36,3.44,1.62,3.85,3.31,0.07,0.53
Granodiorita,66.8,15.5,2.94,2.86,1.51,3.84,3.51,0.06,0.48
Granodiorita,51.59,18.04,7.51,7.25,5.15,2.6,2.29,0.12,0.99
Granodiorita,66.5,15.9,3.4,3.53,1.12,3.79,2.83,0.11,0.49
Granodiorita,69.76,14.8,2.42,1.5,0.7,4.71,3.83,0.05,0.48
Granodiorita,68.61,15.89,2.73,3.3,0.91,3.68,3.36,0.07,0.29
Granodiorita,67.28,16.31,2.92,3.49,1.05,3.8,3.41,0.08,0.4
Granodiorita,67.9,15.7,2.9,3.33,1.16,3.92,2.76,0.06,0.46
Granodiorita,68.1,15.4,2.86,3.31,1.19,3.9,2.74,0.06,0.46
Granodiorita,71.82,13.94,1.82,3.06,1.03,2.63,3.29,0.022,0.384
Granodiorita,59.3,17.7,1.16,3.34,0.76,0.76,12.0,0.04,0.26
Granodiorita,61.35,18.55,1.81,3.16,0.29,5.05,6.47,0.06,0.25
Granodiorita,70.08,15.2,2.87,3.47,0.95,4.27,0.34,0.04,0.32
Granodiorita,71.27,14.88,2.74,4.38,1.0,4.22,0.32,0.05,0.32
Granodiorita,66.8,15.38,4.41,4.36,1.5,3.63,2.44,0.11,0.38
Granodiorita,62.24,15.88,6.25,3.34,1.46,3.8,3.4,0.19,0.93
Granodiorita,64.49,16.43,5.05,2.97,1.3,3.5,3.54,0.15,0.78
Granodiorita,63.25,15.44,6.44,3.46,1.98,3.15,2.58,0.18,1.14
Granodiorita,64.92,15.22,4.09,2.63,1.09,5.9,3.59,0.15,0.59
Granodiorita,60.59,15.85,7.25,3.84,1.87,3.28,3.33,0.2,1.31
Granodiorita,64.77,14.69,4.7,4.94,2.32,2.68,3.36,0.11,0.48
Granodiorita,65.91,14.26,4.17,4.7,2.16,2.69,3.14,0.11,0.45
Granodiorita,65.12,14.03,4.92,3.76,2.58,2.66,3.69,0.12,0.51
Granodiorita,67.11,13.19,4.98,4.03,2.3,2.33,2.7,0.12,0.57
Granodiorita,65.86,13.9,5.04,4.42,2.38,2.56,2.56,0.12,0.56
Granodiorita,64.99,14.17,5.18,4.73,2.5,2.55,2.56,0.12,0.59
Granodiorita,67.11,13.61,4.54,4.38,2.11,2.59,2.15,0.1,0.55
Granodiorita,67.13,14.22,4.26,4.28,1.94,2.51,2.49,0.12,0.44
Granodiorita,63.44,15.21,5.45,5.24,2.22,2.65,2.72,0.13,0.59
Granodiorita,62.81,14.73,5.54,5.32,2.76,2.6,3.09,0.13,0.6
Granodiorita,63.59,14.57,4.82,4.8,2.51,2.66,3.98,0.12,0.51
Granodiorita,62.09,15.34,5.34,5.58,2.75,2.63,3.16,0.12,0.59
Granodiorita,62.49,15.55,5.44,4.99,2.28,2.45,2.7,0.14,0.56
Granodiorita,62.7,15.51,5.41,4.95,2.27,2.69,2.72,0.14,0.55
Granodiorita,63.1,15.4,5.23,5.07,2.16,2.16,2.71,0.13,0.55
Granodiorita,64.15,15.15,4.59,3.58,2.09,2.73,3.65,0.11,0.58
Granodiorita,66.03,14.24,4.32,3.89,1.95,2.57,3.33,0.1,0.51
Granodiorita,64.71,14.87,4.64,3.8,2.12,2.66,3.4,0.11,0.55
Granodiorita,62.2,17.4,3.26,3.71,2.95,4.44,1.68,0.03,0.49
Granodiorita,63.8,15.2,4.72,4.47,2.0,2.63,1.65,0.07,0.37
Granodiorita,61.1,17.4,5.41,2.98,2.16,3.59,2.25,0.08,0.39
Granodiorita,65.82,16.13,3.28,3.73,1.29,4.3,2.67,0.05,0.66
Granodiorita,65.95,16.11,3.34,3.43,1.27,4.22,2.75,0.05,0.67
Granodiorita,67.66,15.76,3.03,2.92,1.07,4.33,2.86,0.05,0.55
Granodiorita,67.78,15.44,3.02,2.76,1.11,4.01,3.49,0.05,0.56
Granodiorita,66.82,15.55,2.8,1.74,1.4,3.86,4.76,0.03,0.63
Granodiorita,63.0,16.69,4.22,5.37,1.75,3.83,0.93,0.12,0.35
Granodiorita,68.28,15.27,2.17,2.27,1.16,4.27,4.22,0.034,0.403
Granodiorita,68.95,16.2,2.15,1.91,0.74,4.0,4.49,0.04,0.39
Granodiorita,67.57,14.84,5.05,2.39,1.27,4.64,2.28,0.1,0.75
Granodiorita,70.09,14.95,2.88,2.17,1.53,3.5,2.7,0.06,0.4
Granodiorita,68.31,14.62,4.09,2.22,2.19,3.35,2.37,0.09,0.64
Granodiorita,68.71,15.35,3.17,2.16,1.73,3.55,2.85,0.06,0.51
Granodiorita,70.28,14.78,3.08,1.96,1.45,3.52,3.08,0.06,0.49
Granodiorita,54.97,17.64,7.76,6.39,3.32,3.08,2.52,0.17,1.17
Granodiorita,54.98,17.64,7.84,6.56,3.3,3.1,2.32,0.17,1.16
Granodiorita,54.25,17.72,7.84,6.7,3.31,3.0,2.61,0.18,1.15
Granodiorita,65.78,15.81,3.62,3.53,1.49,3.31,4.15,0.06,0.54
Granodiorita,65.6,16.15,3.69,2.05,1.62,4.04,3.57,0.085,0.598
Granodiorita,69.34,15.2,2.52,1.21,0.989,3.94,4.39,0.063,0.422
Granodiorita,69.28,14.24,2.24,1.92,1.74,4.55,3.71,0.05,0.336
Granodiorita,67.64,14.38,2.65,2.39,1.95,4.64,3.17,0.058,0.386
Granodiorita,70.5288505938131,14.2468088868511,2.04,1.69447238174534,1.67646311132776,4.30831486609956,3.67990730702233,0.0458380477724865,0.317449895003342
Granodiorita,69.4569261384326,14.3707882118652,2.4,2.0662513699264,1.84641588123887,4.361774717264,3.06891863480059,0.0515520801514572,0.36061881505866
Granodiorita,62.65,16.87,4.8,3.38,2.05,4.62,2.56,0.148,0.96
Granodiorita,61.18,17.13,5.15,3.69,2.3,4.19,3.26,0.141,0.954
Granodiorita,67.9230879508418,14.286964787175,4.34,2.65955049495933,1.90894481517849,3.5950436992549,2.72394301432271,0.12098695253129,0.833497607873757
Granodiorita,60.05,17.5,5.52,4.13,2.59,4.36,2.96,0.114,1.01
Granodiorita,63.44,15.91,4.45,3.49,2.13,3.94,3.39,0.104,0.756
Granodiorita,71.8779707021422,15.7941725754117,0.84,1.87811792800594,0.249749724468875,4.60538491920606,3.80618580090566,0.0129635691382153,0.143737639744475
Granodiorita,73.6908527788352,15.0048347273135,0.61,1.91042988570569,0.169152646130192,4.59697191247932,3.18404980950949,0.0104579797588358,0.10215367103538
Granodiorita,72.4516261922651,15.5409532608134,0.83,2.00592495762576,0.248258039310119,4.78641499789909,3.22735451103154,0.0119373110605031,0.140560206384196
Granodiorita,68.97,16.0,1.6,2.04,0.5,4.18,4.55,0.022182816,0.31673652
Granodiorita,71.4932623514521,15.150359169642,1.18,1.62325276817593,0.230461812765718,4.38879452136455,3.99801144754442,0.0211276327776598,0.191001780461135
Granodiorita,66.0409461848153,16.3921447614417,3.11,3.15581450342901,1.63820943967811,4.53271446193147,3.53772836053188,0.0510127082704428,0.550496503041043
Granodiorita,71.968553432405,14.8394980431215,1.4,2.31929908522399,0.512053044789712,4.54823586842626,2.81127161845332,0.0205867974822504,0.281536282187863
Granodiorita,72.0021186800099,15.1551797138238,1.42,2.31231605937471,0.560561468939323,4.68469227613577,2.75275721354132,0.0213649355223559,0.278584835825596
Granodiorita,72.7371185697902,14.8051654608473,1.47,2.53745750813442,0.539459470233302,5.12486496721637,1.32866869520424,0.0206901168336341,0.286375536289934
